,City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
297,2831403,Sommerda,0,de,1559667421,47,51.15,11.1,82.0,9.17
298,417594,Shahreza,0,ir,1559667422,18,32.01,51.87,71.66,6.85
299,1500607,Lesosibirsk,16,ru,1559667422,66,58.22,92.49,53.12,3.11
300,2064735,Nhulunbuy,75,au,1559667423,64,-12.18,136.78,73.4,16.11
301,2319133,Warri,100,ng,1559667246,83,5.52,5.75,80.66,9.08
302,5059419,Grafton,1,us,1559667403,37,48.41,-97.41,86.0,5.82
303,3351663,Benguela,20,ao,1559667423,78,-12.58,13.4,77.0,4.7
304,1512101,Agirish,100,ru,1559667423,91,61.92,63.02,41.42,17.09
305,4036284,Alofi,60,nu,1559667423,94,-19.06,-169.92,71.6,8.05
306,1317402,Kyaikkami,100,mm,1559667424,80,16.08,97.57,83.36,4.47
307,2022129,Kichera,92,ru,1559667424,86,55.93,110.1,40.52,7.61
308,4032369,Pangai,95,to,1559667424,80,-19.8,-174.35,76.16,18.9
309,3397967,Itaituba,20,br,1559667188,66,-4.26,-55.99,89.6,5.82
310,3466980,Caravelas,0,br,1559667147,53,-17.73,-39.27,87.68,1.79
311,6454798,Montauban,20,fr,1559667425,45,44.02,1.35,82.99,11.41
312,5380437,Pacific Grove,1,us,1559667425,77,36.62,-121.92,66.99,9.91
313,5915098,Canora,90,ca,1559667425,77,51.64,-102.43,60.8,14.99
314,2138555,Poum,100,nc,1559667425,75,-20.23,164.02,75.62,2.57
315,1337617,Muli,100,mv,1559667426,79,2.92,73.57,84.26,15.79
316,2882161,Kyritz,15,de,1559667426,29,52.94,12.4,82.99,1.01
317,2685750,Ostersund,0,se,1559667426,37,63.18,14.64,66.2,5.82
318,2178753,Kirakira,66,sb,1559667426,84,-10.46,161.92,80.12,6.8
319,3573374,The Valley,20,ai,1559667426,74,18.22,-63.06,88.0,13.87
320,2236967,Soyo,20,ao,1559667426,69,-6.13,12.37,80.6,6.93
321,1490256,Talnakh,0,ru,1559667427,65,69.49,88.39,41.0,2.24
322,3027513,Challans,75,fr,1559667427,68,46.85,-1.88,66.2,13.87
323,3393692,Itarema,96,br,1559667225,67,-2.92,-39.92,86.24,5.68
324,3451138,Rio Grande,0,br,1559667427,63,-32.03,-52.1,64.4,5.82
325,3380290,Sinnamary,85,gf,1559667427,81,5.38,-52.96,81.74,14.12
326,1516048,Hovd,68,mn,1559667427,46,48.01,91.64,56.72,5.3
327,162158,Baherden,0,tm,1559667428,30,38.44,57.43,75.08,6.06
328,935221,Saint-Paul,90,re,1559667428,77,-21.01,55.27,73.4,19.46
329,152663,Mugumu,89,tz,1559667428,91,-1.84,34.67,64.64,3.76
330,2374583,Bubaque,100,gw,1559667194,76,11.28,-15.83,80.3,13.09
331,3985168,San Patricio,75,mx,1559667428,74,19.22,-104.7,84.2,6.78
332,8142546,Lasem,99,id,1559667428,83,-6.99,112.52,78.32,5.12
333,3379316,Lethem,39,gy,1559667429,44,3.38,-59.8,93.44,8.5
334,6071618,Medicine Hat,40,ca,1559667434,45,50.04,-110.68,66.0,4.7
335,6089245,Norman Wells,75,ca,1559667434,75,65.28,-126.83,42.8,6.93
336,2447513,Arlit,25,ne,1559667434,20,18.74,7.39,101.36,13.47
337,3374083,Bathsheba,75,bb,1559667298,62,13.22,-59.52,87.8,19.46
338,1260045,Patti,40,in,1559667435,43,31.28,74.86,93.2,4.7
339,4132625,Stuttgart,1,us,1559667435,58,34.5,-91.55,87.8,5.82
